PeakID (cmd=annotatePeaks.pl results/filtered_reproducible_peaks.bed mm10 -gtf results/m39_gene_annotation.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr17-146	chr17	32337650	32337818	+	1	NA	intron (ENSMUST00000237900.2, intron 1 of 1)	lncRNA-intron (ENSMUST00000180839.3, intron 1 of 1)	4891	ENSMUST00000246221.1	ENSMUSG00000097305	ENSMUST00000242391			Gm17276			lncRNA
chr14-276	chr14	26895445	26895606	+	1	NA	intron (ENSMUST00000225949.2, intron 3 of 13)	protein_coding-intron (ENSMUST00000225949.2, intron 3 of 13)	-36829	ENSMUST00000225776.2	ENSMUSG00000114349	ENSMUST00000225776			Gm7591			processed_pseudogene
chr5-1083	chr5	121256403	121256571	+	1	NA	Intergenic	Intergenic	25211	ENSMUST00000148871.2	ENSMUSG00000043733	ENSMUST00000100770			Ptpn11			protein_coding
chr13-303	chr13	56030355	56030519	+	1	NA	intron (ENSMUST00000237678.2, intron 2 of 5)	lncRNA-intron (ENSMUST00000237678.2, intron 2 of 5)	-43395	ENSMUST00000242203.1	ENSMUSG00000114493	ENSMUST00000225993			Gm47071			lncRNA
chr1-531	chr1	80846600	80846768	+	1	NA	Intergenic	Intergenic	29138	ENSMUST00000186576.2	ENSMUSG00000099949	ENSMUST00000186576			Gm29124			processed_pseudogene
chr17-757	chr17	25930288	25930445	+	1	NA	Intergenic	Intergenic	-5779	ENSMUST00000172002.8	ENSMUSG00000025739	ENSMUST00000115108			Gng13			protein_coding
chr6-714	chr6	88902000	88902168	+	1	NA	Intergenic	Intergenic	5394	ENSMUST00000205229.2	ENSMUSG00000107676	ENSMUST00000205229			Gm44178			TEC
chr9-264	chr9	31114443	31114611	+	1	NA	intron (ENSMUST00000217641.2, intron 1 of 15)	protein_coding-intron (ENSMUST00000072634.15, intron 1 of 16)	8556	ENSMUST00000217641.2	ENSMUSG00000031996	ENSMUST00000213273			Aplp2			protein_coding
chr2-737	chr2	158075316	158075484	+	1	NA	Intergenic	Intergenic	-4258	ENSMUST00000046944.6	ENSMUSG00000037813	ENSMUST00000103121			D630003M21Rik			protein_coding
chr11-672	chr11	89564995	89565138	+	1	NA	intron (ENSMUST00000238273.3, intron 3 of 21)	protein_coding-intron (ENSMUST00000128717.9, intron 1 of 16)	22605	ENSMUST00000128717.9	ENSMUSG00000047773	ENSMUST00000207815			Ankfn1			protein_coding
chr2-1252	chr2	170606731	170606899	+	1	NA	intron (ENSMUST00000029075.5, intron 1 of 7)	protein_coding-intron (ENSMUST00000029075.5, intron 1 of 7)	33088	ENSMUST00000029075.5	ENSMUSG00000027560	ENSMUST00000029075			Dok5			protein_coding
chr10-33	chr10	40603157	40603325	+	1	NA	intron (ENSMUST00000058747.4, intron 1 of 4)	protein_coding-intron (ENSMUST00000058747.4, intron 1 of 4)	43963	ENSMUST00000058747.4	ENSMUSG00000045555	ENSMUST00000058747			Mettl24			protein_coding
chr4-359	chr4	151496166	151496334	+	1	NA	intron (ENSMUST00000097774.9, intron 5 of 22)	protein_coding-intron (ENSMUST00000049790.14, intron 5 of 23)	35323	ENSMUST00000129097.2	ENSMUSG00000085593	ENSMUST00000129097			4930589P08Rik			lncRNA
chr7-54	chr7	109312758	109312926	+	1	NA	intron (ENSMUST00000106735.9, intron 5 of 5)	protein_coding-intron (ENSMUST00000033334.5, intron 5 of 5)	4802	ENSMUST00000147497.2	ENSMUSG00000031023	ENSMUST00000143581			Akip1			protein_coding
chr3-143	chr3	51911236	51911404	+	1	NA	exon (ENSMUST00000192845.2, exon 1 of 1)	TEC-exon (ENSMUST00000192845.2, exon 1 of 1)	126	ENSMUST00000192845.2	ENSMUSG00000102423	ENSMUST00000192845			Gm37465			TEC
chr4-397	chr4	32288274	32288442	+	1	NA	intron (ENSMUST00000156430.2, intron 1 of 1)	protein_coding-intron (ENSMUST00000037416.13, intron 1 of 7)	36597	ENSMUST00000133451.2	ENSMUSG00000087049	ENSMUST00000133451			Bach2it1			lncRNA
chr4-198	chr4	105135944	105136112	+	1	NA	Intergenic	Intergenic	96115	ENSMUST00000118507.2	ENSMUSG00000081819	ENSMUST00000118507			Gm12722			processed_pseudogene
chr9-790	chr9	80124522	80124690	+	1	NA	promoter-TSS (ENSMUST00000076140.4)	protein_coding-promoter-TSS (ENSMUST00000076140.4)	-287	ENSMUST00000127779.9	ENSMUSG00000033577	ENSMUST00000183377			Myo6			protein_coding
chr4-593	chr4	8954505	8954673	+	1	NA	Intergenic	Intergenic	13330	ENSMUST00000119493.2	ENSMUSG00000083786	ENSMUST00000119493			Rps18-ps2			processed_pseudogene
chr14-41	chr14	62473627	62473795	+	1	NA	Intergenic	Intergenic	-31910	ENSMUST00000183203.2	ENSMUSG00000098096	ENSMUST00000183203			Gm26969			lncRNA
chr11-35	chr11	103126616	103126781	+	1	NA	intron (ENSMUST00000021324.3, intron 6 of 15)	protein_coding-intron (ENSMUST00000021324.3, intron 6 of 15)	4262	ENSMUST00000152677.2	ENSMUSG00000020941	ENSMUST00000021324			Map3k14			protein_coding
chr3-548	chr3	152463235	152463403	+	1	NA	intron (ENSMUST00000162642.8, intron 9 of 13)	protein_coding-intron (ENSMUST00000045029.15, intron 10 of 11)	-5699	ENSMUST00000160651.2	ENSMUSG00000039047	ENSMUST00000051510			Pigk			protein_coding
chr15-597	chr15	11914340	11914508	+	1	NA	Intergenic	Intergenic	-7051	ENSMUST00000228489.2	ENSMUSG00000022206	ENSMUST00000226878			Npr3			protein_coding
chr11-247	chr11	77333033	77333201	+	1	NA	intron (ENSMUST00000181283.3, intron 12 of 13)	protein_coding-intron (ENSMUST00000037912.12, intron 13 of 14)	-20120	ENSMUST00000102493.8	ENSMUSG00000020836	ENSMUST00000130255			Coro6			protein_coding
chr10-162	chr10	75069476	75069644	+	1	NA	intron (ENSMUST00000219387.2, intron 2 of 3)	protein_coding-intron (ENSMUST00000040105.8, intron 2 of 15)	3871	ENSMUST00000040105.8	ENSMUSG00000033444	ENSMUST00000219387			Specc1l			protein_coding
chr3-6	chr3	8896033	8896201	+	1	NA	intron (ENSMUST00000042148.6, intron 2 of 2)	protein_coding-intron (ENSMUST00000042148.6, intron 2 of 2)	-50142	ENSMUST00000120582.2	ENSMUSG00000081594	ENSMUST00000120582			Gm15467			processed_pseudogene
chr19-133	chr19	42758933	42759101	+	1	NA	promoter-TSS (ENSMUST00000161761.2)	protein_coding-promoter-TSS (ENSMUST00000161761.2)	-768	ENSMUST00000161761.2	ENSMUSG00000025188	ENSMUST00000161761			Hps1			protein_coding
chr4-834	chr4	155795224	155795392	+	1	NA	intron (ENSMUST00000140322.2, intron 1 of 1)	protein_coding-intron (ENSMUST00000030905.9, intron 1 of 4)	5716	ENSMUST00000105595.2	ENSMUSG00000029038	ENSMUST00000140322			Ssu72			protein_coding
chr8-253	chr8	46961866	46962026	+	1	NA	intron (ENSMUST00000211644.2, intron 3 of 3)	protein_coding-intron (ENSMUST00000034046.13, intron 4 of 20)	16077	ENSMUST00000110371.8	ENSMUSG00000018796	ENSMUST00000034046			Acsl1			protein_coding
chr3-950	chr3	34527071	34527219	+	1	NA	intron (ENSMUST00000200625.2, intron 2 of 2)	lncRNA-intron (ENSMUST00000196058.5, intron 2 of 4)	9211	ENSMUST00000188411.2	ENSMUSG00000099437	ENSMUST00000188411			Gm29135			lncRNA
chr4-532	chr4	155640069	155640237	+	1	NA	TTS (ENSMUST00000175705.2)	protein_coding-TTS (ENSMUST00000175705.2)	2472	ENSMUST00000176308.2	ENSMUSG00000029064	ENSMUST00000030940			Gnb1			protein_coding
chr12-202	chr12	80926066	80926226	+	1	NA	exon (ENSMUST00000068519.7, exon 6 of 6)	protein_coding-exon (ENSMUST00000068519.7, exon 6 of 6)	10664	ENSMUST00000219720.2	ENSMUSG00000021133	ENSMUST00000219720			Susd6			protein_coding
chr2-1228	chr2	155836942	155837104	+	1	NA	intron (ENSMUST00000148191.2, intron 12 of 14)	protein_coding-intron (ENSMUST00000039994.14, intron 30 of 32)	9044	ENSMUST00000141437.2	ENSMUSG00000074646	ENSMUST00000141437			6430550D23Rik			protein_coding
chr4-907	chr4	123507377	123507545	+	1	NA	promoter-TSS (ENSMUST00000238866.2)	protein_coding-promoter-TSS (ENSMUST00000238866.2)	75	ENSMUST00000238866.2	ENSMUSG00000028649	ENSMUST00000247737			Macf1			protein_coding
chr3-1042	chr3	127049839	127050007	+	1	NA	intron (ENSMUST00000182547.8, intron 2 of 15)	protein_coding-intron (ENSMUST00000182008.8, intron 2 of 14)	-12499	ENSMUST00000197913.2	ENSMUSG00000105733	ENSMUST00000197913			Gm42973			TEC
chr13-756	chr13	95154607	95154775	+	1	NA	exon (ENSMUST00000160801.8, exon 12 of 14)	protein_coding-exon (ENSMUST00000160801.8, exon 12 of 14)	599	ENSMUST00000223422.2	ENSMUSG00000042015	ENSMUST00000223422			Wdr41			protein_coding
chr7-705	chr7	44724876	44725044	+	1	NA	promoter-TSS (ENSMUST00000210668.2)	protein_coding-promoter-TSS (ENSMUST00000210668.2)	-175	ENSMUST00000210998.2	ENSMUSG00000003421	ENSMUST00000210668			Nosip			protein_coding
chr2-977	chr2	128415095	128415263	+	1	NA	Intergenic	Intergenic	14909	ENSMUST00000120483.2	ENSMUSG00000082350	ENSMUST00000120483			Gm14008			processed_pseudogene
chr9-1090	chr9	114874618	114874786	+	1	NA	intron (ENSMUST00000182199.8, intron 1 of 11)	protein_coding-intron (ENSMUST00000182199.8, intron 1 of 11)	-8707	ENSMUST00000182920.2	ENSMUSG00000040875	ENSMUST00000182363			Osbpl10			protein_coding
chr10-92	chr10	69021815	69021983	+	1	NA	intron (ENSMUST00000167286.8, intron 2 of 4)	protein_coding-intron (ENSMUST00000167286.8, intron 2 of 4)	-22483	ENSMUST00000164034.8	ENSMUSG00000019944	ENSMUST00000168117			Rhobtb1			protein_coding
chrX-240	chrX	50986113	50986281	+	1	NA	Intergenic	Intergenic	52635	ENSMUST00000158167.3	ENSMUSG00000088792	ENSMUST00000158167			Gm22539			snoRNA
chr5-795	chr5	92537940	92538108	+	1	NA	intron (ENSMUST00000129222.2, intron 1 of 6)	protein_coding-intron (ENSMUST00000113083.9, intron 3 of 9)	2022	ENSMUST00000117108.8	ENSMUSG00000034842	ENSMUST00000124509			Art3			protein_coding
chr14-29	chr14	68278250	68278418	+	1	NA	Intergenic	Intergenic	10445	ENSMUST00000223853.2	ENSMUSG00000114621	ENSMUST00000223853			Gm31107			lncRNA
chr3-985	chr3	80792556	80792717	+	1	NA	intron (ENSMUST00000194085.6, intron 1 of 7)	protein_coding-intron (ENSMUST00000029654.15, intron 2 of 9)	26760	ENSMUST00000194085.6	ENSMUSG00000028020	ENSMUST00000132330			Glrb			protein_coding
chr17-265	chr17	25513270	25513438	+	1	NA	Intergenic	Intergenic	-4014	ENSMUST00000249718.1	ENSMUSG00000056399	ENSMUST00000249718			Prss34			protein_coding
chr13-664	chr13	95085895	95086057	+	1	NA	Intergenic	Intergenic	-26876	ENSMUST00000160115.8	ENSMUSG00000042015	ENSMUST00000223422			Wdr41			protein_coding
chr6-243	chr6	54375557	54375725	+	1	NA	intron (ENSMUST00000145111.8, intron 3 of 13)	lncRNA-intron (ENSMUST00000145111.8, intron 3 of 13)	30881	ENSMUST00000135612.2	ENSMUSG00000073067	ENSMUST00000135612			9130019P16Rik			lncRNA
chr4-350	chr4	136097191	136097359	+	1	NA	Intergenic	Intergenic	14190	ENSMUST00000180855.2	ENSMUSG00000066037	ENSMUST00000134524			Hnrnpr			protein_coding
chr17-448	chr17	84224132	84224300	+	1	NA	Intergenic	Intergenic	-1150	ENSMUST00000234364.2	ENSMUSG00000117442	ENSMUST00000234364			1810073O08Rik			lncRNA
chr9-757	chr9	51987483	51987651	+	1	NA	intron (ENSMUST00000238858.2, intron 10 of 14)	protein_coding-intron (ENSMUST00000000590.16, intron 10 of 13)	27512	ENSMUST00020183570.1	ENSMUSG00002076614	ENSMUST00020183570			Gm54877			miRNA
chr3-503	chr3	21815454	21815622	+	1	NA	intron (ENSMUST00000191725.2, intron 2 of 2)	lncRNA-intron (ENSMUST00000191725.2, intron 2 of 2)	1157	ENSMUST00000194717.2	ENSMUSG00000121716	ENSMUST00000194717			ENSMUSG00000121716			lncRNA
chr16-112	chr16	13636369	13636537	+	1	NA	promoter-TSS (ENSMUST00000023362.15)	protein_coding-promoter-TSS (ENSMUST00000023362.15)	-256	ENSMUST00000230788.2	ENSMUSG00000022681	ENSMUST00000139161			Ntan1			protein_coding
chr9-799	chr9	102741576	102741736	+	1	NA	intron (ENSMUST00000175883.8, intron 2 of 14)	protein_coding-intron (ENSMUST00000035142.8, intron 2 of 14)	-4609	ENSMUST00000175788.2	ENSMUSG00000032547	ENSMUST00000035142			Ryk			protein_coding
chr14-153	chr14	73251749	73251917	+	1	NA	Intergenic	Intergenic	11766	ENSMUST00000228154.2	ENSMUSG00000033470	ENSMUST00000169168			Cysltr2			protein_coding
chr5-19	chr5	110257947	110258115	+	1	NA	promoter-TSS (ENSMUST00000112528.8)	protein_coding-promoter-TSS (ENSMUST00000112528.8)	73	ENSMUST00000112528.8	ENSMUSG00000023284	ENSMUST00000144089			Zfp605			protein_coding
chr5-1050	chr5	91136571	91136739	+	1	NA	intron (ENSMUST00000071652.6, intron 6 of 7)	protein_coding-intron (ENSMUST00000071652.6, intron 6 of 7)	-38668	ENSMUST00000202724.4	ENSMUSG00000035020	ENSMUST00000041516			Epgn			protein_coding
chr3-108	chr3	94935080	94935248	+	1	NA	Intergenic	Intergenic	6063	ENSMUST00000147960.2	ENSMUSG00000005625	ENSMUST00000071664			Psmd4			protein_coding
chr16-440	chr16	91492116	91492268	+	1	NA	TTS (ENSMUST00000231499.2)	protein_coding-TTS (ENSMUST00000231499.2)	-2312	ENSMUST00000140199.2	ENSMUSG00000058240	ENSMUST00000073466			Cryzl1			protein_coding
chr15-507	chr15	81012568	81012736	+	1	NA	intron (ENSMUST00000239114.2, intron 1 of 13)	protein_coding-intron (ENSMUST00000123243.8, intron 1 of 3)	-12606	ENSMUST00000230595.2	ENSMUSG00000116321	ENSMUST00000230595			Gm49522			TEC
chr3-307	chr3	132858717	132858885	+	1	NA	intron (ENSMUST00000147041.10, intron 5 of 13)	protein_coding-intron (ENSMUST00000147041.10, intron 5 of 13)	52653	ENSMUST00000160669.2	ENSMUSG00000028016	ENSMUST00000029650			Ints12			protein_coding
chr4-636	chr4	129007048	129007216	+	1	NA	intron (ENSMUST00000164649.8, intron 2 of 3)	protein_coding-intron (ENSMUST00000030572.10, intron 2 of 3)	5628	ENSMUST00000095807.10	ENSMUSG00000028785	ENSMUST00000116442			Hpca			protein_coding
chr11-1248	chr11	101803020	101803162	+	1	NA	Intergenic	Intergenic	-17891	ENSMUST00000057054.8	ENSMUSG00000001493	ENSMUST00000057054			Meox1			protein_coding
chr13-147	chr13	99396050	99396206	+	1	NA	Intergenic	Intergenic	74797	ENSMUST00000056558.11	ENSMUSG00000050919	ENSMUST00000056558			Zfp366			protein_coding
chr12-412	chr12	100553531	100553699	+	1	NA	intron (ENSMUST00000222731.2, intron 7 of 16)	protein_coding-intron (ENSMUST00000043599.7, intron 7 of 17)	11239	ENSMUST00000221307.2	ENSMUSG00000021180	ENSMUST00000222347			Rps6ka5			protein_coding
chr15-430	chr15	57672547	57672715	+	1	NA	intron (ENSMUST00000160990.2, intron 2 of 2)	protein_coding-intron (ENSMUST00000096430.11, intron 2 of 3)	-70569	ENSMUST00000176703.3	ENSMUSG00000047807	ENSMUST00000176703			9330154K18Rik			lncRNA
chr11-773	chr11	118336806	118336974	+	1	NA	intron (ENSMUST00000142751.2, intron 2 of 2)	protein_coding-intron (ENSMUST00000017590.9, intron 2 of 3)	2593	ENSMUST00000133558.3	ENSMUSG00000017446	ENSMUST00000106286			C1qtnf1			protein_coding
chr18-674	chr18	75937721	75937889	+	1	NA	Intergenic	Intergenic	-15444	ENSMUST00000058997.15	ENSMUSG00000044646	ENSMUST00000167921			Zbtb7c			protein_coding
chr4-385	chr4	143015215	143015380	+	1	NA	intron (ENSMUST00000119654.2, intron 1 of 4)	protein_coding-intron (ENSMUST00000030317.14, intron 1 of 5)	10736	ENSMUST00000119654.2	ENSMUSG00000028583	ENSMUST00000030317			Pdpn			protein_coding
chr12-140	chr12	45026382	45026550	+	1	NA	intron (ENSMUST00000143376.8, intron 2 of 2)	protein_coding-intron (ENSMUST00000053768.14, intron 2 of 5)	-8805	ENSMUST00000146949.2	ENSMUSG00000086012	ENSMUST00000219623			Gm15902			lncRNA
chr11-914	chr11	51531321	51531489	+	1	NA	Intergenic	Intergenic	-4682	ENSMUST00000001081.10	ENSMUSG00000001054	ENSMUST00000132854			Rmnd5b			protein_coding
chr7-235	chr7	113101115	113101283	+	1	NA	Intergenic	Intergenic	-11842	ENSMUST00000033018.15	ENSMUSG00000030759	ENSMUST00000156554			Far1			protein_coding
chr9-99	chr9	57916390	57916558	+	1	NA	intron (ENSMUST00000188116.7, intron 1 of 3)	protein_coding-intron (ENSMUST00000188116.7, intron 1 of 3)	2780	ENSMUST00000188116.7	ENSMUSG00000032323	ENSMUST00000034874			Cyp11a1			protein_coding
chr13-387	chr13	38064111	38064279	+	1	NA	intron (ENSMUST00000138110.8, intron 1 of 3)	protein_coding-intron (ENSMUST00000110237.9, intron 1 of 9)	-8215	ENSMUST00000124268.8	ENSMUSG00000039087	ENSMUST00000110237			Rreb1			protein_coding
chr8-256	chr8	73010885	73011053	+	1	NA	TTS (ENSMUST00000151546.2)	protein_coding-TTS (ENSMUST00000151546.2)	4190	ENSMUST00000151546.2	ENSMUSG00000003033	ENSMUST00000145213			Ap1m1			protein_coding
chr3-869	chr3	95935267	95935435	+	1	NA	intron (ENSMUST00000015891.6, intron 13 of 14)	protein_coding-intron (ENSMUST00000015891.6, intron 13 of 14)	29680	ENSMUST00000140518.2	ENSMUSG00000015747	ENSMUST00000131281			Vps45			protein_coding
chr15-550	chr15	63216757	63216925	+	1	NA	intron (ENSMUST00000228339.3, intron 6 of 8)	lncRNA-intron (ENSMUST00000228339.3, intron 6 of 8)	12027	ENSMUST00000227983.2	ENSMUSG00000115520	ENSMUST00000226699			Gm41335			lncRNA
chr1-260	chr1	55172656	55172824	+	1	NA	intron (ENSMUST00000162553.2, intron 1 of 7)	protein_coding-intron (ENSMUST00000027122.14, intron 1 of 5)	2255	ENSMUST00000159743.2	ENSMUSG00000025979	ENSMUST00000162364			Mob4			protein_coding
chr19-163	chr19	17234319	17234487	+	1	NA	promoter-TSS (ENSMUST00000235384.2)	lncRNA-promoter-TSS (ENSMUST00000235384.2)	-551	ENSMUST00000235384.2	ENSMUSG00000118367	ENSMUST00000236272			Gm50277			lncRNA
chr5-1007	chr5	28625349	28625517	+	1	NA	Intergenic	Intergenic	9774	ENSMUST00000133313.2	ENSMUSG00000048271	ENSMUST00000144967			Rbm33			protein_coding
chr12-380	chr12	4596597	4596765	+	1	NA	Intergenic	Intergenic	7104	ENSMUST00000217932.2	ENSMUSG00000112819	ENSMUST00000217932			Gm46332			lncRNA
chr11-128	chr11	63673104	63673272	+	1	NA	Intergenic	Intergenic	35938	ENSMUST00000121054.2	ENSMUSG00000083142	ENSMUST00000121054			Gm12288			processed_pseudogene
chr8-69	chr8	11342699	11342867	+	1	NA	intron (ENSMUST00000209735.2, intron 1 of 52)	protein_coding-intron (ENSMUST00000033898.10, intron 1 of 51)	-1516	ENSMUST00000209007.2	ENSMUSG00000109358	ENSMUST00000209007			Gm44716			TEC
chr3-189	chr3	115609265	115609433	+	1	NA	Intergenic	Intergenic	-72137	ENSMUST00000189799.7	ENSMUSG00000033554	ENSMUST00000200258			Dph5			protein_coding
chr7-451	chr7	110495083	110495223	+	1	NA	intron (ENSMUST00000127935.8, intron 9 of 15)	protein_coding-intron (ENSMUST00000005751.13, intron 14 of 20)	-9039	ENSMUST00000126011.2	ENSMUSG00000087160	ENSMUST00000126011			Gm16336			lncRNA
chr3-602	chr3	109164133	109164301	+	1	NA	Intergenic	Intergenic	-64034	ENSMUST00000120957.2	ENSMUSG00000083717	ENSMUST00000120957			Gm13865			processed_pseudogene
chr2-1303	chr2	52508910	52509078	+	1	NA	promoter-TSS (ENSMUST00000183232.2)	processed_pseudogene-promoter-TSS (ENSMUST00000183232.2)	-772	ENSMUST00000183232.2	ENSMUSG00000025201	ENSMUST00000183232			Bloc1s2-ps			processed_pseudogene
chr6-246	chr6	72209943	72210111	+	1	NA	intron (ENSMUST00000206425.2, intron 1 of 3)	protein_coding-intron (ENSMUST00000042646.8, intron 1 of 2)	1494	ENSMUST00000206425.2	ENSMUSG00000037621	ENSMUST00000206425			Atoh8			protein_coding
chr1-794	chr1	36910420	36910588	+	1	NA	TTS (ENSMUST00000192008.2)	TEC-TTS (ENSMUST00000192008.2)	622	ENSMUST00000192008.2	ENSMUSG00000103016	ENSMUST00000192008			Gm37506			TEC
chr13-634	chr13	46725518	46725686	+	1	NA	intron (ENSMUST00000119341.2, intron 4 of 9)	protein_coding-intron (ENSMUST00000021802.16, intron 4 of 12)	-37388	ENSMUST00000225444.2	ENSMUSG00000021373	ENSMUST00000021802			Cap2			protein_coding
chr8-579	chr8	26475024	26475192	+	1	NA	intron (ENSMUST00000061850.5, intron 4 of 4)	protein_coding-intron (ENSMUST00000061850.5, intron 4 of 4)	-8327	ENSMUST00000037609.8	ENSMUSG00000037260	ENSMUST00000037609			Hgsnat			protein_coding
chr17-235	chr17	29820503	29820671	+	1	NA	intron (ENSMUST00000234778.2, intron 12 of 12)	protein_coding-intron (ENSMUST00000048677.9, intron 12 of 12)	-5308	ENSMUST00000163069.2	ENSMUSG00000089900	ENSMUST00000159875			Tbc1d22bos			lncRNA
chr6-431	chr6	56901263	56901431	+	1	NA	promoter-TSS (ENSMUST00000031793.8)	protein_coding-promoter-TSS (ENSMUST00000031793.8)	340	ENSMUST00000176838.2	ENSMUSG00000071893	ENSMUST00000176838			Vmn1r4			protein_coding
chr3-506	chr3	27671862	27672030	+	1	NA	intron (ENSMUST00000195008.6, intron 4 of 26)	protein_coding-intron (ENSMUST00000046157.10, intron 3 of 25)	-32802	ENSMUST00000174954.3	ENSMUSG00000092695	ENSMUST00000174954			Mir3092			miRNA
chr14-673	chr14	49168523	49168691	+	1	NA	Intergenic	Intergenic	-49281	ENSMUST00000226616.2	ENSMUSG00000115398	ENSMUST00000227492			Gm534			lncRNA
chr13-252	chr13	89178433	89178601	+	1	NA	intron (ENSMUST00000153974.8, intron 3 of 5)	protein_coding-intron (ENSMUST00000043111.7, intron 2 of 9)	208756	ENSMUST00000043111.7	ENSMUSG00000034488	ENSMUST00000081769			Edil3			protein_coding
chr1-1040	chr1	60784923	60785091	+	1	NA	promoter-TSS (ENSMUST00000027165.3)	protein_coding-promoter-TSS (ENSMUST00000027165.3)	-510	ENSMUST00000027165.3	ENSMUSG00000026012	ENSMUST00000132833			Cd28			protein_coding
chr6-255	chr6	118403771	118403939	+	1	NA	TTS (ENSMUST00000069292.14)	protein_coding-TTS (ENSMUST00000069292.14)	-2276	ENSMUST00020183275.1	ENSMUSG00002076900	ENSMUST00020183275			Gm55903			miRNA
chr6-978	chr6	108429488	108429651	+	1	NA	intron (ENSMUST00000203638.3, intron 4 of 5)	protein_coding-intron (ENSMUST00000032192.9, intron 44 of 61)	-3575	ENSMUST00020183424.1	ENSMUSG00002075102	ENSMUST00020183424			Gm55598			misc_RNA
chr12-706	chr12	119322037	119322205	+	1	NA	intron (ENSMUST00000221917.2, intron 2 of 5)	protein_coding-intron (ENSMUST00000221917.2, intron 2 of 5)	5868	ENSMUST00000222541.2	ENSMUSG00000113192	ENSMUST00000222541			Gm18032			processed_pseudogene
chr1-691	chr1	192880345	192880513	+	1	NA	promoter-TSS (ENSMUST00000160332.8)	protein_coding-promoter-TSS (ENSMUST00000160332.8)	-150	ENSMUST00000161367.2	ENSMUSG00000037318	ENSMUST00000161151			Traf3ip3			protein_coding
chr6-280	chr6	99728429	99728597	+	1	NA	Intergenic	Intergenic	-19105	ENSMUST00000204852.2	ENSMUSG00000108082	ENSMUST00000204852			Btf3-ps6			processed_pseudogene
chr15-460	chr15	96913204	96913356	+	1	NA	intron (ENSMUST00000231039.2, intron 3 of 14)	protein_coding-intron (ENSMUST00000023101.10, intron 4 of 15)	4552	ENSMUST00000231039.2	ENSMUSG00000022464	ENSMUST00000166223			Slc38a4			protein_coding
chr16-31	chr16	86020031	86020199	+	1	NA	Intergenic	Intergenic	-12944	ENSMUST00000231827.2	ENSMUSG00000116799	ENSMUST00000231827			Gm32357			lncRNA
chr4-818	chr4	141006776	141006944	+	1	NA	exon (ENSMUST00000142429.3, exon 2 of 2)	lncRNA-exon (ENSMUST00000142429.3, exon 2 of 2)	1100	ENSMUST00000243229.1	ENSMUSG00000085395	ENSMUST00000142429			Gm13056			lncRNA
chr4-633	chr4	123518294	123518462	+	1	NA	intron (ENSMUST00000247737.1, intron 2 of 9)	protein_coding-intron (ENSMUST00000082108.12, intron 1 of 92)	-5710	ENSMUST00000121158.2	ENSMUSG00000081585	ENSMUST00000121158			Gm12926			processed_pseudogene
chr8-245	chr8	128833174	128833342	+	1	NA	Intergenic	Intergenic	171448	ENSMUST00000184910.3	ENSMUSG00000099326	ENSMUST00000184910			Mir21c			miRNA
chr12-77	chr12	35600430	35600598	+	1	NA	intron (ENSMUST00000223092.2, intron 2 of 5)	lncRNA-intron (ENSMUST00000223092.2, intron 2 of 5)	4484	ENSMUST00000220905.2	ENSMUSG00000113580	ENSMUST00000220905			Gm48237			lncRNA
chr18-154	chr18	13920766	13920934	+	1	NA	intron (ENSMUST00000234480.2, intron 2 of 5)	protein_coding-intron (ENSMUST00000025288.9, intron 5 of 7)	56039	ENSMUST00000234502.2	ENSMUSG00000024420	ENSMUST00000025288			Zfp521			protein_coding
chr4-416	chr4	126590909	126591040	+	1	NA	intron (ENSMUST00000150372.2, intron 3 of 4)	protein_coding-intron (ENSMUST00000030642.3, intron 3 of 5)	19477	ENSMUST00000150372.2	ENSMUSG00000028837	ENSMUST00000130737			Psmb2			protein_coding
chr3-155	chr3	51508272	51508440	+	1	NA	Intergenic	Intergenic	18629	ENSMUST00000193978.2	ENSMUSG00000104075	ENSMUST00000193978			5430433H01Rik			TEC
chr15-429	chr15	52827509	52827651	+	1	NA	Intergenic	Intergenic	143684	ENSMUST00000140798.2	ENSMUSG00000061731	ENSMUST00000140798			Ext1			protein_coding
chr13-228	chr13	64580218	64580386	+	1	NA	promoter-TSS (ENSMUST00000220992.2)	protein_coding-promoter-TSS (ENSMUST00000220992.2)	-54	ENSMUST00000223121.2	ENSMUSG00000021483	ENSMUST00000220992			Cdk20			protein_coding
chr16-708	chr16	45789337	45789505	+	1	NA	exon (ENSMUST00000154775.2, exon 3 of 3)	lncRNA-exon (ENSMUST00000154775.2, exon 3 of 3)	-15460	ENSMUST00000134802.8	ENSMUSG00000033149	ENSMUST00000134802			Phldb2			protein_coding
chr2-1393	chr2	156832227	156832395	+	1	NA	intron (ENSMUST00000132748.2, intron 1 of 2)	protein_coding-intron (ENSMUST00000069600.13, intron 1 of 16)	1536	ENSMUST00000156651.2	ENSMUSG00000027634	ENSMUST00000109558			Ndrg3			protein_coding
chr17-700	chr17	56337962	56338130	+	1	NA	intron (ENSMUST00000233803.2, intron 1 of 8)	protein_coding-intron (ENSMUST00000003268.11, intron 1 of 9)	5522	ENSMUST00000233034.2	ENSMUSG00000003200	ENSMUST00000003268			Sh3gl1			protein_coding
